threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
0.6,0.9947312961011591,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4720,7,18,0
0.61,0.9949420442571127,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4721,6,18,0
0.62,0.9951527924130664,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4722,5,18,0
0.63,0.9955742887249737,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4724,3,18,0
0.64,0.9957850368809273,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4725,2,18,0
0.65,0.9959957850368809,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4726,1,18,0
0.66,0.9959957850368809,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4726,1,18,0
0.67,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.68,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.6900000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.7000000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.7100000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.72,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.73,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.74,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.75,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.76,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.77,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.78,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.79,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.8,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.81,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.8200000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
0.8300000000000001,0.9962065331928346,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4727,0,18,0
