threshold,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,predicted_positive_rate,true_negative,false_positive,false_negative,true_positive,pr_auc
0.23,0.7789251844046364,0.032015065913371,0.6181818181818182,0.06087735004476276,0.21918976545842217,0.38181818181818183,0.2238145416227608,3662,1028,21,34,0.0385183352507577
0.24,0.7881981032665965,0.03248031496062992,0.6,0.06162464985994398,0.2095948827292111,0.4,0.21412012644889358,3707,983,22,33,0.0385183352507577
0.25,0.7970495258166491,0.033880903490759756,0.6,0.0641399416909621,0.20063965884861407,0.4,0.2052687038988409,3749,941,22,33,0.0385183352507577
0.26,0.8031612223393045,0.03194888178913738,0.5454545454545454,0.060362173038229376,0.19381663113006398,0.45454545454545453,0.19789251844046366,3781,909,25,30,0.0385183352507577
0.27,0.8113804004214963,0.03125,0.509090909090909,0.058885383806519455,0.18507462686567164,0.4909090909090909,0.1888303477344573,3822,868,27,28,0.0385183352507577
0.28,0.820231822971549,0.03169014084507042,0.4909090909090909,0.05953693495038589,0.17590618336886993,0.509090909090909,0.17955742887249737,3865,825,28,27,0.0385183352507577
0.29,0.826554267650158,0.030562347188264057,0.45454545454545453,0.0572737686139748,0.16908315565031984,0.5454545454545454,0.17239199157007376,3897,793,30,25,0.0385183352507577
0.3,0.8360379346680716,0.0311284046692607,0.43636363636363634,0.05811138014527845,0.15927505330490405,0.5636363636363636,0.1624868282402529,3943,747,31,24,0.0385183352507577
0.31,0.8425711275026343,0.029891304347826088,0.4,0.05562579013906448,0.15223880597014924,0.6,0.15511064278187567,3976,714,33,22,0.0385183352507577
0.32,0.8486828240252898,0.031117397454031116,0.4,0.05774278215223097,0.1460554371002132,0.6,0.14899894625922022,4005,685,33,22,0.0385183352507577
0.33,0.8558482613277134,0.029895366218236172,0.36363636363636365,0.055248618784530384,0.13837953091684435,0.6363636363636364,0.1409905163329821,4041,649,35,20,0.0385183352507577
0.34,0.8638566912539515,0.030206677265500796,0.34545454545454546,0.05555555555555555,0.1300639658848614,0.6545454545454545,0.13256059009483667,4080,610,36,19,0.0385183352507577
0.35,0.8712328767123287,0.0288135593220339,0.3090909090909091,0.05271317829457364,0.12217484008528785,0.6909090909090909,0.12434141201264488,4117,573,38,17,0.0385183352507577
0.36,0.8790305584826132,0.03074141048824593,0.3090909090909091,0.05592105263157895,0.11428571428571428,0.6909090909090909,0.11654373024236038,4154,536,38,17,0.0385183352507577
0.37,0.8864067439409905,0.031007751937984496,0.2909090909090909,0.05604203152364273,0.10660980810234541,0.7090909090909091,0.10874604847207586,4190,500,39,16,0.0385183352507577
0.38,0.8967334035827187,0.034261241970021415,0.2909090909090909,0.06130268199233716,0.09616204690831556,0.7090909090909091,0.09841938883034773,4239,451,39,16,0.0385183352507577
0.39,0.9030558482613277,0.03233256351039261,0.2545454545454545,0.05737704918032787,0.08933901918976546,0.7454545454545455,0.09125395152792413,4271,419,41,14,0.0385183352507577
0.4,0.9076923076923077,0.03178484107579462,0.23636363636363636,0.05603448275862069,0.08443496801705756,0.7636363636363637,0.08619599578503688,4294,396,42,13,0.0385183352507577
0.41,0.916754478398314,0.03296703296703297,0.21818181818181817,0.057279236276849645,0.07505330490405117,0.7818181818181819,0.07671232876712329,4338,352,43,12,0.0385183352507577
0.42,0.9228661749209695,0.03582089552238806,0.21818181818181817,0.06153846153846154,0.06886993603411513,0.7818181818181819,0.07060063224446786,4367,323,43,12,0.0385183352507577
0.43,0.9327713382507903,0.041666666666666664,0.21818181818181817,0.06997084548104957,0.05884861407249467,0.7818181818181819,0.060695468914647,4414,276,43,12,0.0385183352507577
0.44,0.9397260273972603,0.043478260869565216,0.2,0.07142857142857142,0.05159914712153518,0.8,0.05331928345626976,4448,242,44,11,0.0385183352507577
0.45,0.9466807165437302,0.037383177570093455,0.14545454545454545,0.05947955390334572,0.04392324093816631,0.8545454545454545,0.04510010537407798,4484,206,47,8,0.0385183352507577
0.46,0.9542676501580611,0.03977272727272727,0.12727272727272726,0.06060606060606061,0.036034115138592754,0.8727272727272727,0.03709167544783983,4521,169,48,7,0.0385183352507577
0.47,0.9597471022128556,0.03424657534246575,0.09090909090909091,0.04975124378109453,0.030063965884861408,0.9090909090909091,0.03076923076923077,4549,141,50,5,0.0385183352507577
0.48,0.968809272918862,0.04854368932038835,0.09090909090909091,0.06329113924050633,0.020895522388059702,0.9090909090909091,0.021707060063224447,4592,98,50,5,0.0385183352507577
0.49,0.9757639620653319,0.07142857142857142,0.09090909090909091,0.08,0.013859275053304905,0.9090909090909091,0.014752370916754479,4625,65,50,5,0.0385183352507577
0.5,0.982086406743941,0.08333333333333333,0.05454545454545454,0.06593406593406594,0.0070362473347547975,0.9454545454545454,0.007586933614330875,4657,33,52,3,0.0385183352507577
0.51,0.9850368809272919,0.13636363636363635,0.05454545454545454,0.07792207792207792,0.004051172707889125,0.9454545454545454,0.004636459430979979,4671,19,52,3,0.0385183352507577
0.52,0.9856691253951528,0.11764705882352941,0.03636363636363636,0.05555555555555555,0.0031982942430703624,0.9636363636363636,0.003582718651211802,4675,15,53,2,0.0385183352507577
0.53,0.9863013698630136,0.14285714285714285,0.03636363636363636,0.057971014492753624,0.00255863539445629,0.9636363636363636,0.0029504741833508955,4678,12,53,2,0.0385183352507577
0.54,0.9863013698630136,0.0,0.0,0.0,0.0021321961620469083,1.0,0.002107481559536354,4680,10,55,0,0.0385183352507577
0.55,0.9863013698630136,0.0,0.0,0.0,0.0021321961620469083,1.0,0.002107481559536354,4680,10,55,0,0.0385183352507577
0.56,0.9865121180189673,0.0,0.0,0.0,0.0019189765458422175,1.0,0.0018967334035827187,4681,9,55,0,0.0385183352507577
0.57,0.9865121180189673,0.0,0.0,0.0,0.0019189765458422175,1.0,0.0018967334035827187,4681,9,55,0,0.0385183352507577
0.58,0.986722866174921,0.0,0.0,0.0,0.0017057569296375266,1.0,0.0016859852476290833,4682,8,55,0,0.0385183352507577
0.59,0.9871443624868282,0.0,0.0,0.0,0.001279317697228145,1.0,0.0012644889357218123,4684,6,55,0,0.0385183352507577
0.6,0.9871443624868282,0.0,0.0,0.0,0.001279317697228145,1.0,0.0012644889357218123,4684,6,55,0,0.0385183352507577
0.61,0.9873551106427819,0.0,0.0,0.0,0.0010660980810234541,1.0,0.001053740779768177,4685,5,55,0,0.0385183352507577
0.62,0.9875658587987355,0.0,0.0,0.0,0.0008528784648187633,1.0,0.0008429926238145417,4686,4,55,0,0.0385183352507577
0.63,0.9875658587987355,0.0,0.0,0.0,0.0008528784648187633,1.0,0.0008429926238145417,4686,4,55,0,0.0385183352507577
0.64,0.9875658587987355,0.0,0.0,0.0,0.0008528784648187633,1.0,0.0008429926238145417,4686,4,55,0,0.0385183352507577
0.65,0.9875658587987355,0.0,0.0,0.0,0.0008528784648187633,1.0,0.0008429926238145417,4686,4,55,0,0.0385183352507577
0.66,0.9875658587987355,0.0,0.0,0.0,0.0008528784648187633,1.0,0.0008429926238145417,4686,4,55,0,0.0385183352507577
0.67,0.9877766069546892,0.0,0.0,0.0,0.0006396588486140725,1.0,0.0006322444678609062,4687,3,55,0,0.0385183352507577
0.68,0.9879873551106427,0.0,0.0,0.0,0.00042643923240938164,1.0,0.00042149631190727084,4688,2,55,0,0.0385183352507577
0.69,0.9879873551106427,0.0,0.0,0.0,0.00042643923240938164,1.0,0.00042149631190727084,4688,2,55,0,0.0385183352507577
0.7,0.9881981032665964,0.0,0.0,0.0,0.00021321961620469082,1.0,0.00021074815595363542,4689,1,55,0,0.0385183352507577
0.71,0.9881981032665964,0.0,0.0,0.0,0.00021321961620469082,1.0,0.00021074815595363542,4689,1,55,0,0.0385183352507577
0.72,0.9881981032665964,0.0,0.0,0.0,0.00021321961620469082,1.0,0.00021074815595363542,4689,1,55,0,0.0385183352507577
0.73,0.9881981032665964,0.0,0.0,0.0,0.00021321961620469082,1.0,0.00021074815595363542,4689,1,55,0,0.0385183352507577
0.74,0.9881981032665964,0.0,0.0,0.0,0.00021321961620469082,1.0,0.00021074815595363542,4689,1,55,0,0.0385183352507577
0.75,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.76,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.77,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.78,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.79,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.8,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.81,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.82,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.83,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.84,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.85,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.86,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.87,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.88,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.89,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.9,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.91,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.92,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.93,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.94,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.95,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.96,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.97,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.98,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
0.99,0.9884088514225501,0.0,0.0,0.0,0.0,1.0,0.0,4690,0,55,0,0.0385183352507577
