station_id,datetime_utc,latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
THL_GRG_04,2022-07-27 21:00:00+00:00,31.713,77.165,0.1,0.1,0.5,9.0,17.7,100.0,100.0,21.7,83,852.3,3.6,980.0,38.2,35.0,5600.0,0
AUT_JNC_03,2022-07-27 21:00:00+00:00,31.745,77.21,0.1,0.1,0.5,9.0,17.7,100.0,100.0,24.7,84,899.5,3.6,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-27 21:00:00+00:00,31.7087,76.932,0.0,0.0,0.7,4.7,13.8,100.0,100.0,25.9,81,923.6,1.5,760.0,22.4,65.0,11200.0,0
JGN_VLY_05,2022-07-27 21:00:00+00:00,31.983,76.776,0.0,0.0,0.2,1.6,2.2,100.0,100.0,24.5,82,895.2,2.9,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-27 21:00:00+00:00,31.533,76.89,0.0,0.0,0.9,4.8,14.2,100.0,100.0,24.9,84,913.4,1.1,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-27 22:00:00+00:00,31.745,77.21,0.2,0.3,0.4,9.2,17.9,100.0,100.0,24.7,83,900.2,2.3,1050.0,34.5,80.0,4200.0,0
SDR_BSN_07,2022-07-27 22:00:00+00:00,31.533,76.89,0.0,0.0,0.5,4.8,14.2,100.0,100.0,24.8,84,914.3,1.5,860.0,16.8,340.0,3100.0,0
MND_URBAN_01,2022-07-27 22:00:00+00:00,31.7087,76.932,0.0,0.0,0.4,4.7,13.8,100.0,100.0,25.5,84,924.5,3.5,760.0,22.4,65.0,11200.0,0
THL_GRG_04,2022-07-27 22:00:00+00:00,31.713,77.165,0.2,0.3,0.4,9.2,17.9,100.0,100.0,21.7,83,853.0,2.3,980.0,38.2,35.0,5600.0,0
JGN_VLY_05,2022-07-27 22:00:00+00:00,31.983,76.776,0.0,0.0,0.1,1.6,2.2,100.0,100.0,24.1,84,895.8,1.9,1220.0,24.6,210.0,1850.0,0
THL_GRG_04,2022-07-27 23:00:00+00:00,31.713,77.165,0.3,0.6,0.6,9.5,18.2,100.0,100.0,21.3,84,853.3,1.5,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-27 23:00:00+00:00,31.533,76.89,0.0,0.0,0.4,4.8,14.2,100.0,100.0,24.8,84,914.4,1.3,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-27 23:00:00+00:00,31.745,77.21,0.3,0.6,0.6,9.5,18.2,100.0,100.0,24.3,85,900.6,1.5,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-27 23:00:00+00:00,31.7087,76.932,0.0,0.0,0.3,4.7,13.8,100.0,100.0,24.8,88,924.5,4.0,760.0,22.4,65.0,11200.0,0
JGN_VLY_05,2022-07-27 23:00:00+00:00,31.983,76.776,0.0,0.0,0.1,1.6,2.2,100.0,100.0,23.8,86,896.0,1.8,1220.0,24.6,210.0,1850.0,0
THL_GRG_04,2022-07-28 00:00:00+00:00,31.713,77.165,2.8,3.3,3.4,12.3,21.0,100.0,100.0,19.8,96,853.2,2.1,980.0,38.2,35.0,5600.0,0
JGN_VLY_05,2022-07-28 00:00:00+00:00,31.983,76.776,0.0,0.0,0.0,1.4,2.2,100.0,100.0,23.1,91,895.9,3.5,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 00:00:00+00:00,31.533,76.89,0.0,0.0,0.0,4.8,14.2,100.0,100.0,24.8,83,914.6,0.5,860.0,16.8,340.0,3100.0,0
MND_URBAN_01,2022-07-28 00:00:00+00:00,31.7087,76.932,0.1,0.1,0.1,4.8,13.9,100.0,100.0,24.0,92,924.7,4.0,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 00:00:00+00:00,31.745,77.21,2.8,3.3,3.4,12.3,21.0,100.0,100.0,22.8,96,900.7,2.1,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-28 01:00:00+00:00,31.983,76.776,0.1,0.1,0.1,1.3,2.3,100.0,100.0,23.2,88,895.4,3.1,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 01:00:00+00:00,31.533,76.89,0.1,0.1,0.1,4.8,14.0,100.0,100.0,24.0,88,914.0,3.6,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-28 01:00:00+00:00,31.713,77.165,3.1,6.2,6.5,15.3,24.0,100.0,100.0,19.7,94,852.6,4.4,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-28 01:00:00+00:00,31.7087,76.932,0.2,0.3,0.3,5.0,14.1,100.0,100.0,24.1,91,924.2,4.1,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-28 01:00:00+00:00,31.745,77.21,3.1,6.2,6.5,15.3,24.0,100.0,100.0,22.7,94,900.1,4.4,1050.0,34.5,80.0,4200.0,0
THL_GRG_04,2022-07-28 02:00:00+00:00,31.713,77.165,2.0,7.9,8.5,17.0,25.9,100.0,100.0,19.6,94,852.1,2.9,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-28 02:00:00+00:00,31.533,76.89,0.0,0.1,0.1,4.5,14.0,100.0,100.0,22.7,94,913.4,4.4,860.0,16.8,340.0,3100.0,0
AUT_JNC_03,2022-07-28 02:00:00+00:00,31.745,77.21,2.0,7.9,8.5,17.0,25.9,100.0,100.0,22.6,94,899.5,2.9,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-28 02:00:00+00:00,31.7087,76.932,1.1,1.4,1.4,5.7,15.2,100.0,100.0,24.2,88,923.9,2.2,760.0,22.4,65.0,11200.0,0
JGN_VLY_05,2022-07-28 02:00:00+00:00,31.983,76.776,0.0,0.1,0.1,1.3,2.2,100.0,100.0,22.7,90,894.9,2.3,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-28 03:00:00+00:00,31.533,76.89,0.1,0.2,0.2,4.5,13.6,100.0,100.0,22.6,94,912.7,3.3,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-28 03:00:00+00:00,31.713,77.165,0.8,5.9,9.2,17.8,26.6,100.0,100.0,19.6,95,851.2,2.2,980.0,38.2,35.0,5600.0,0
