date,district,rainfall_mm
2021-01-29,Pithoragarh,0.011562900527757
2021-01-29,Rudra Prayag,0.1638100125352387
2021-01-29,Tehri Garhwal,0.0102325579126834
2021-01-29,Udham Singh Nagar,0.0
2021-01-29,Uttarkashi,0.0993029499368805
2021-01-30,Almora,0.0
2021-01-30,Bageshwar,0.3005174537350232
2021-01-30,Chamoli,0.0970635443369608
2021-01-30,Champawat,0.0137612946943032
2021-01-30,Dehra Dun,0.0
2021-01-30,Haridwar,0.0
2021-01-30,Naini Tal,0.0
2021-01-30,Pauri Garhwal,0.0071775495475263
2021-01-30,Pithoragarh,0.0459312683911041
2021-01-30,Rudra Prayag,0.0523488754615676
2021-01-30,Tehri Garhwal,0.0779922781889392
2021-01-30,Udham Singh Nagar,0.0
2021-01-30,Uttarkashi,0.0645276737430165
2021-01-31,Almora,0.0186781446908301
2021-01-31,Bageshwar,0.4775294002840596
2021-01-31,Chamoli,0.346844243825479
2021-01-31,Champawat,0.0
2021-01-31,Dehra Dun,6.47315306197593e-05
2021-01-31,Haridwar,0.0
2021-01-31,Naini Tal,0.0299573930052595
2021-01-31,Pauri Garhwal,0.0065110629683939
2021-01-31,Pithoragarh,0.2847895462504504
2021-01-31,Rudra Prayag,0.0675751272901017
2021-01-31,Tehri Garhwal,0.0726720338473022
2021-01-31,Udham Singh Nagar,0.0071652378529605
2021-01-31,Uttarkashi,0.0385839643226214
2021-02-01,Almora,0.0581144247401794
2021-02-01,Bageshwar,0.7188362898197204
2021-02-01,Chamoli,0.4093948003083941
2021-02-01,Champawat,0.0066686750753842
2021-02-01,Dehra Dun,0.0266330756549615
2021-02-01,Haridwar,0.0179249873956516
2021-02-01,Naini Tal,0.0573478636808889
2021-02-01,Pauri Garhwal,0.0473925294683403
2021-02-01,Pithoragarh,0.2615096709361219
2021-02-01,Rudra Prayag,0.3335056938565559
2021-02-01,Tehri Garhwal,0.0435277837214283
2021-02-01,Udham Singh Nagar,0.0257025569517819
2021-02-01,Uttarkashi,0.0357444694793821
2021-02-02,Almora,0.4319936168772004
2021-02-02,Bageshwar,0.3653538506435271
2021-02-02,Chamoli,0.4936716910132134
2021-02-02,Champawat,0.0330760531002621
2021-02-02,Dehra Dun,2.45298440960325e-05
2021-02-02,Haridwar,0.0878658213225137
2021-02-02,Naini Tal,0.1100878081760915
2021-02-02,Pauri Garhwal,0.0179481146703202
2021-02-02,Pithoragarh,0.2670006918546841
2021-02-02,Rudra Prayag,0.2123246985498899
2021-02-02,Tehri Garhwal,0.0227244563115454
2021-02-02,Udham Singh Nagar,0.0110308897748706
2021-02-02,Uttarkashi,0.0194226782686066
2021-02-03,Almora,0.1650840543159243
2021-02-03,Bageshwar,0.8133786572778584
2021-02-03,Chamoli,1.2177928950836945
2021-02-03,Champawat,0.2843787591711779
2021-02-03,Dehra Dun,3.027442015255664
2021-02-03,Haridwar,0.728468902871212
2021-02-03,Naini Tal,0.1919526080918842
2021-02-03,Pauri Garhwal,1.00214052316476
2021-02-03,Pithoragarh,0.2392747977602903
2021-02-03,Rudra Prayag,2.0179101267292303
2021-02-03,Tehri Garhwal,2.966828951273654
2021-02-03,Udham Singh Nagar,0.0848455495939392
2021-02-03,Uttarkashi,1.9081310279647408
2021-02-04,Almora,10.178711825837542
2021-02-04,Bageshwar,3.809959475401796
2021-02-04,Chamoli,2.1170880479626115
2021-02-04,Champawat,3.085766748059307
2021-02-04,Dehra Dun,16.280985574735524
2021-02-04,Haridwar,18.56578141135177
2021-02-04,Naini Tal,6.701698389712262
2021-02-04,Pauri Garhwal,12.285261478741187
2021-02-04,Pithoragarh,1.7807872374301
2021-02-04,Rudra Prayag,2.175108749945431
2021-02-04,Tehri Garhwal,6.150804756625829
2021-02-04,Udham Singh Nagar,5.663167174687369
2021-02-04,Uttarkashi,7.1885085721925615
2021-02-05,Almora,4.745047330141544
2021-02-05,Bageshwar,1.326701252854614
2021-02-05,Chamoli,1.4201589634639225
2021-02-05,Champawat,3.243399767539871
2021-02-05,Dehra Dun,0.2871463536715116
2021-02-05,Haridwar,0.0020100369289855
2021-02-05,Naini Tal,1.6408993705803634
2021-02-05,Pauri Garhwal,2.257072650595552
2021-02-05,Pithoragarh,0.4946140712604314
2021-02-05,Rudra Prayag,1.336393751692355
2021-02-05,Tehri Garhwal,0.7819652846197552
2021-02-05,Udham Singh Nagar,0.6822812411252233
2021-02-05,Uttarkashi,0.1984078173956994
2021-02-06,Almora,0.478589332546865
2021-02-06,Bageshwar,0.2024834504595835
2021-02-06,Chamoli,0.6819216074092447
2021-02-06,Champawat,0.0
2021-02-06,Dehra Dun,0.0
2021-02-06,Haridwar,0.0
2021-02-06,Naini Tal,0.0088646989577056
2021-02-06,Pauri Garhwal,0.0414582529763583
2021-02-06,Pithoragarh,0.0741911483424732
2021-02-06,Rudra Prayag,0.276523311703831
2021-02-06,Tehri Garhwal,0.0066479222775869
2021-02-06,Udham Singh Nagar,0.0
2021-02-06,Uttarkashi,0.0080912678351239
2021-02-07,Almora,0.0243790661209058
2021-02-07,Bageshwar,0.919680121374618
2021-02-07,Chamoli,0.4382133599806117
2021-02-07,Champawat,0.0
2021-02-07,Dehra Dun,0.0
2021-02-07,Haridwar,0.0
2021-02-07,Naini Tal,0.0
2021-02-07,Pauri Garhwal,0.0343766857563838
2021-02-07,Pithoragarh,0.1182671654545977
2021-02-07,Rudra Prayag,0.2306735703570442
2021-02-07,Tehri Garhwal,0.0092551468662403
2021-02-07,Udham Singh Nagar,0.0
2021-02-07,Uttarkashi,0.0364865534364129
2021-02-08,Almora,0.0
2021-02-08,Bageshwar,0.4442012767685809
2021-02-08,Chamoli,0.6095101758169347
2021-02-08,Champawat,0.0
2021-02-08,Dehra Dun,0.0
2021-02-08,Haridwar,0.0
2021-02-08,Naini Tal,0.0
2021-02-08,Pauri Garhwal,0.0
2021-02-08,Pithoragarh,0.0850536292083856
2021-02-08,Rudra Prayag,0.0283765103507124
2021-02-08,Tehri Garhwal,0.00021873807887505176
2021-02-08,Udham Singh Nagar,0.0
2021-02-08,Uttarkashi,0.0481802777237225
2021-02-09,Almora,0.4588462462138137
2021-02-09,Bageshwar,1.9485955411186509
2021-02-09,Chamoli,1.036380564741619
2021-02-09,Champawat,0.3508998397274885
2021-02-09,Dehra Dun,0.109852818811922
2021-02-09,Haridwar,0.4395298306240012
2021-02-09,Naini Tal,0.314949591253307
2021-02-09,Pauri Garhwal,0.1147451972656819
2021-02-09,Pithoragarh,1.0960388004729216
2021-02-09,Rudra Prayag,0.1850034510401529
2021-02-09,Tehri Garhwal,0.2326944281424854
2021-02-09,Udham Singh Nagar,0.2027704633243531
2021-02-09,Uttarkashi,0.2404318885820633
2021-02-10,Almora,0.3229236627272088
2021-02-10,Bageshwar,1.2147885680833814
2021-02-10,Chamoli,0.4385609748794049
2021-02-10,Champawat,0.0
2021-02-10,Dehra Dun,6.47315306197593e-05
2021-02-10,Haridwar,0.0251452708238026
2021-02-10,Naini Tal,0.0
2021-02-10,Pauri Garhwal,0.1046418921727459
2021-02-10,Pithoragarh,1.1332272112526875
2021-02-10,Rudra Prayag,0.5349343502176653
2021-02-10,Tehri Garhwal,0.4532963103500951
2021-02-10,Udham Singh Nagar,0.0052202185348861
2021-02-10,Uttarkashi,0.303432576901653
2021-02-11,Almora,0.0422044461291261
2021-02-11,Bageshwar,0.551865797646871
2021-02-11,Chamoli,0.1794333535686522
2021-02-11,Champawat,0.0636859918966979
2021-02-11,Dehra Dun,8.926137712722937e-05
2021-02-11,Haridwar,0.0
2021-02-11,Naini Tal,0.0344014341395089
2021-02-11,Pauri Garhwal,0.036339140584529
2021-02-11,Pithoragarh,0.1748452212898108
2021-02-11,Rudra Prayag,0.0389153709763818
2021-02-11,Tehri Garhwal,0.0741555469496381
2021-02-11,Udham Singh Nagar,0.0
2021-02-11,Uttarkashi,0.0238300006250993
2021-02-12,Almora,0.0357754864692566
2021-02-12,Bageshwar,0.9240918913595928
2021-02-12,Chamoli,0.3271593149526222
2021-02-12,Champawat,0.0135579817473933
2021-02-12,Dehra Dun,0.0245264369060794
2021-02-12,Haridwar,0.0017212536914113
2021-02-12,Naini Tal,0.0318201175704753
2021-02-12,Pauri Garhwal,0.0414197039832454
2021-02-12,Pithoragarh,0.2023656238182632
2021-02-12,Rudra Prayag,0.2437253805559404
2021-02-12,Tehri Garhwal,0.3265973969265567
2021-02-12,Udham Singh Nagar,0.0323839776450286
2021-02-12,Uttarkashi,0.0412151309343576
2021-02-13,Almora,0.1147871443783609
2021-02-13,Bageshwar,1.0000376567776958
2021-02-13,Chamoli,0.4903708129655919
2021-02-13,Champawat,0.050124246198366
2021-02-13,Dehra Dun,0.0481425442068583
2021-02-13,Haridwar,0.0
2021-02-13,Naini Tal,0.1477652459487529
2021-02-13,Pauri Garhwal,0.0955658751771729
2021-02-13,Pithoragarh,0.4901865321691782
2021-02-13,Rudra Prayag,0.4311450638388491
2021-02-13,Tehri Garhwal,0.3627549437900989
2021-02-13,Udham Singh Nagar,0.0
2021-02-13,Uttarkashi,0.2025173907300438
2021-02-14,Almora,0.0
2021-02-14,Bageshwar,3.431748079936369
2021-02-14,Chamoli,2.4832298482592137
2021-02-14,Champawat,0.0208546681531581
2021-02-14,Dehra Dun,0.0059553010364586
2021-02-14,Haridwar,0.0
2021-02-14,Naini Tal,0.0135950324870123
2021-02-14,Pauri Garhwal,0.0192463954581933
2021-02-14,Pithoragarh,1.939266890264651
2021-02-14,Rudra Prayag,12.797712955293155
2021-02-14,Tehri Garhwal,1.3283115413425697
2021-02-14,Udham Singh Nagar,0.0043238249455696
2021-02-14,Uttarkashi,0.3753886337773305
2021-02-15,Almora,0.0950684629989547
2021-02-15,Bageshwar,1.1173915195559592
2021-02-15,Chamoli,0.1954780664689908
2021-02-15,Champawat,0.0427698284503536
2021-02-15,Dehra Dun,0.0240869439074007
2021-02-15,Haridwar,0.0
2021-02-15,Naini Tal,0.0247163039765796
2021-02-15,Pauri Garhwal,0.0531890361106206
2021-02-15,Pithoragarh,0.9036285798173403
2021-02-15,Rudra Prayag,0.6052538773817026
2021-02-15,Tehri Garhwal,0.4295029435154112
2021-02-15,Udham Singh Nagar,0.019725095569876
2021-02-15,Uttarkashi,0.1499012687683057
2021-02-16,Almora,0.0
2021-02-16,Bageshwar,0.6615312332676053
2021-02-16,Chamoli,0.3765838636026159
2021-02-16,Champawat,0.0974246965595951
2021-02-16,Dehra Dun,0.153575220131451
2021-02-16,Haridwar,0.0
2021-02-16,Naini Tal,0.0222342298576627
2021-02-16,Pauri Garhwal,0.0
2021-02-16,Pithoragarh,0.0363775205004591
2021-02-16,Rudra Prayag,0.3305181258594511
2021-02-16,Tehri Garhwal,0.347310324585448
2021-02-16,Udham Singh Nagar,0.0
2021-02-16,Uttarkashi,0.2496157405682088
2021-02-17,Almora,0.43675771623864
2021-02-17,Bageshwar,0.109231614780626
2021-02-17,Chamoli,0.4334299847503611
2021-02-17,Champawat,0.1186420650973665
2021-02-17,Dehra Dun,0.0051219677638884
2021-02-17,Haridwar,0.0
2021-02-17,Naini Tal,0.3779138438475224
2021-02-17,Pauri Garhwal,0.3944973283905483
2021-02-17,Pithoragarh,0.1120718174147753
2021-02-17,Rudra Prayag,0.04292400526671
