event_id,start_date,end_date,duration_days,districts,main_cause,latitude,longitude,severity,event_source,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Location,State,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UKF_0039,2011-07-21,2011-07-21,1,Almora,heavy rains,,,,India Flood Inventory v3,4184,UEI-IMD-FL-2011-0098,21-07-2011 00:00,21-07-2011 00:00,1.0,,Uttarakhand,,2.0,,,,2 persons died in different incidences.,,IMD,,45,5
UKF_0040,2011-08-23,2011-08-23,1,Parts of Uttar Kashiakhand,heavy rains,,,,India Flood Inventory v3,4185,UEI-IMD-FL-2011-0099,23-08-2011 00:00,23-08-2011 00:00,1.0,,Uttarakhand,,5.0,,,,5 labourers died due to wall collapse.,,IMD,,,5
UKF_0041,2012-08-04,2012-08-04,1,Chamoli,heavy rains (cloud burst) ,,,,India Flood Inventory v3,4270,UEI-IMD-FL-2012-0077,04-08-2012 00:00,04-08-2012 00:00,1.0,,Uttarakhand,,7.0,20.0,,,"i) One child washed away. ii) 2 children died in a house collapse. iii) 3 jawans of the fire brigade,2 others died in Gangitri. iv) 19 labours missing from Assi Ganga Hydel project. ",i) Landslides reported.ii) About 30 houses washed away. iii) Gangotri bridge collapsed. iv) Pilgrims of Badrinath-Kedarnath stranded.  v) About 250 falilies shifted to safer places. ,IMD,,47,5
UKF_0042,2012-09-13,2012-09-13,1,Rudra Prayag,heavy rains (cloud burst),,,,India Flood Inventory v3,4271,UEI-IMD-FL-2012-0078,13-09-2012 00:00,13-09-2012 00:00,1.0,,Uttarakhand,,7.0,55.0,,,i) 7 persons died in house collapse. ii) About 40 persons missing. iii) About 15 others injured. ,"1) In Ukhimath area about 12 kachcha houses collapsed from 8 villages, ii) Landslides reported at national highways Hrishikesh-Badrinath,Hrishikesh-Gangotri. ",IMD,,54,5
UKF_0043,2013-06-14,2013-06-18,5,"Chamoli, Pithoragarh, Rudra Prayag,Uttar Kashi Kashi","heavy to very rainfall/flash floods (saraswati,mandakini rivers,its tributaries triggered by very heavy rainfall,lake burst), cloudburst on jun16 &17 jun, massive landslides,avalanches reported at multiple places. ",,,,India Flood Inventory v3,4404,UEI-IMD-FL-2013-0131,14-06-2013 00:00,18-06-2013 00:00,5.0,,Uttarakhand,,5000.0,,,1000,"i) About 5,000 people- the locals, the pilgrims, the tourists, trakers died/missing. ii) More than thousand livestock perished. ","i) More than thousands of pilgrims of Char Dham on the Gangotri,Yamunotri routes, Hemkund, Roopkunda,tourists/trakers of Valley of flowers stranded. ii) Lakhs of people shifted to safer places. iii) Many roads including state highways, infrastructures, villages washed away/damaged. iv) Many Hydroelectric projects, houses, water schemes, bridges, commercial,residential buildings, hotels, rest houses, shops, temples, telephone towers, vehicles destroyed/ drifted in the floods of rivers. v) Damage to the cash crops especially apple crops reported.    ",IMD,,"47, 53, 54, None",5
UKF_0044,2014-07-27,2014-07-27,1,Pithoragarh ,heavy rains ,,,,India Flood Inventory v3,4493,UEI-IMD-FL-2014-0086,27-07-2014 00:00,27-07-2014 00:00,1.0,,Uttarakhand,,6.0,,,,6 persons died in a landslide in Pangla village.,,IMD,,53,5
UKF_0045,2014-07-31,2014-07-31,1,Tehri Garhwal ,heavy rains,,,,India Flood Inventory v3,4494,UEI-IMD-FL-2014-0087,31-07-2014 00:00,31-07-2014 00:00,1.0,,Uttarakhand,,5.0,,,,5 persons died in a landslide in Navthana village.,,IMD,,55,5
UKF_0046,2014-08-11,2014-08-11,1,Parts of Uttar Kashiakhand ,heavy rains ,,,,India Flood Inventory v3,4495,UEI-IMD-FL-2014-0088,11-08-2014 00:00,11-08-2014 00:00,1.0,,Uttarakhand,,,,,,5 persons died.,,IMD,,,5
UKF_0047,2015-07-26,2015-07-26,1,Parts of Uttar Kashiakhand,heavy rains,,,,India Flood Inventory v3,4599,UEI-IMD-FL-2015-0104,26-07-2015 00:00,26-07-2015 00:00,1.0,,Uttarakhand,,1.0,,,,1 person died ,,IMD,,,5
UKF_0048,2016-05-08,2016-05-08,1,Chamoli,landslide,,,,India Flood Inventory v3,4728,UEI-IMD-FL-2016-0126,08-05-2016 00:00,08-05-2016 00:00,1.0,,Uttarakhand,,,,,,,i) Damage to more than 10 houses reported ii) Damage to more than half dozen vehicles reported.,IMD,,47,5
UKF_0049,2016-05-22,2016-05-22,1,Dehradun,landslide,,,,India Flood Inventory v3,4729,UEI-IMD-FL-2016-0127,22-05-2016 00:00,22-05-2016 00:00,1.0,,Uttarakhand,,10.0,5.0,,,10 labourers died & 5 other injured.,,IMD,,49,5
UKF_0050,2016-05-28,2016-05-28,1,"Tehri Garhwal,Uttar Kashi Kashi",cloud burst,,,,India Flood Inventory v3,4730,UEI-IMD-FL-2016-0128,28-05-2016 00:00,28-05-2016 00:00,1.0,,Uttarakhand,,5.0,,,,5 persons died.,,IMD,,"55, None",5
UKF_0051,2016-07-03,2016-07-03,1,"Chamoli, Pithoragarh",cloud burst,,,,India Flood Inventory v3,4731,UEI-IMD-FL-2016-0129,03-07-2016 00:00,03-07-2016 00:00,1.0,,Uttarakhand,,20.0,12.0,,,20 persons died & 12 others missing.,i) 150 families affected ii) 4 houses fully & 12 houses partially damaged.,IMD,,"47, 53",5
UKF_0052,2016-07-16,2016-07-17,2,"Dehradun, Nainital, Tehri Garhwal, Uttar Kashi Kashi",heavy rains & heavy rains &,,,,India Flood Inventory v3,4732,UEI-IMD-FL-2016-0130,16-07-2016 00:00,17-07-2016 00:00,2.0,,Uttarakhand,,15.0,,,,15 persons died.,"i) Rishikesh-Badrinath national highway,the Rishikesh - Kedarnath National Highway between Sonprayag,Gaurikund, remained cut off. ii) Damage to several bridges across the state reported.",IMD,,"49, 51, 55, None",5
UKF_0053,2016-07-21,2016-07-23,3,Dehradun,landslide,,,,India Flood Inventory v3,4733,UEI-IMD-FL-2016-0131,21-07-2016 00:00,23-07-2016 00:00,3.0,,Uttarakhand,,11.0,,,,11 persons died.,,IMD,,49,5
UKF_0054,2017-05-20,2017-05-20,1,Chamoli,Landslide,,,,India Flood Inventory v3,4857,UEI-IMD-FL-2017-0120,20-05-2017 00:00,20-05-2017 00:00,1.0,,Uttarakhand,,13.0,,,,13 Char Dham Pilgrims died.,Thousands of Pilgrims stranded,IMD,,47,5
UKF_0055,2017-08-13,2017-08-13,1,Pithoragarh,Landslide,,,,India Flood Inventory v3,4858,UEI-IMD-FL-2017-0121,13-08-2017 00:00,13-08-2017 00:00,1.0,,Uttarakhand,,1.0,,2,18,"One person died, 2 others missing & 18 livestock perished.",,IMD,,53,5
UKF_0056,2018-11-07,2018-11-07,1,Dehradun,Heavy Rains,,,,India Flood Inventory v3,4976,UEI-IMD-FL-2018-0116,07-11-2018 00:00,07-11-2018 00:00,1.0,,Uttarakhand,,7.0,,,,7 persons died.,,IMD,,49,5
UKF_0057,2018-08-30,2018-08-30,1,Tehri Garhwal,Landslide,,,,India Flood Inventory v3,4977,UEI-IMD-FL-2018-0117,30-08-2018 00:00,30-08-2018 00:00,1.0,,Uttarakhand,,6.0,,,,"6 persons died,other injured.",Damage to houses reported,IMD,,55,5
UKF_0058,2019-02-06,2019-02-06,1,"Almora, Chamoli",Flash floods,,,,India Flood Inventory v3,5126,UEI-IMD-FL-2019-0147,06-02-2019 00:00,06-02-2019 00:00,1.0,,Uttarakhand,,1.0,,1,,One shepherd died due to flash floods in local Gangani stream from Lam Bagar areas in Mahelchouri of Chamoli Dist. While one person missing from Khira village in Chaukhatiya block of Almora Dist. Some cattle heads washed away from Almora Dist.,"i) Damage to agricultural land reported. ii) Damage to several houses, cowsheds reported. iii) Damage to main roads,local bridges reported. iv) Large-scale destruction in Gangnahar, Lambagad, Ramgaderi, Bisht Bhankhli,Negi Bankhali villages reported. v) The Mahelchouri-Chaukhatiya highway blocked due to the debris.",IMD,,"45, 47",5
UKF_0059,2019-06-21,2019-06-21,1,Uttar Kashi Kashi,Heavy rains & flash flood as a result of cloud burst,,,,India Flood Inventory v3,5127,UEI-IMD-FL-2019-0148,21-06-2019 00:00,21-06-2019 00:00,1.0,,Uttarakhand,,1.0,4.0,,,One person died & 4 others injured in Mori market area,i) Damage to houses & shops reported. ii) Several trees uprooted causing blocking of main road for a couple of hours.,IMD,,,5
UKF_0060,2019-06-23,2019-06-23,1,Garhwal,Floods in Binnu river,,,,India Flood Inventory v3,5128,UEI-IMD-FL-2019-0149,23-06-2019 00:00,23-06-2019 00:00,1.0,,Uttarakhand,,,,,,"Some cattle heads washed away in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block.","Damage to houses in Mansari,Kanadi villages in Chauthan Patti area of Thailisain block reported.",IMD,,52,5
UKF_0061,2019-04-07,2019-04-07,1,Rudra Prayag,Heavy rains,,,,India Flood Inventory v3,5129,UEI-IMD-FL-2019-0150,07-04-2019 00:00,07-04-2019 00:00,1.0,,Uttarakhand,,,,,,,Damage to water pipeline & 40-meter road reported in Sari Chamshil village of Augustmuni block.,IMD,,54,5
UKF_0062,2019-06-08,2019-06-08,1,"Chamoli, Garhwal, Uttar Kashi Kashi",Heavy rains & flash flood as a result of cloud burst,,,,India Flood Inventory v3,5130,UEI-IMD-FL-2019-0151,08-06-2019 00:00,08-06-2019 00:00,1.0,,Uttarakhand,,,,,,,"i) Damage to 11 bridges reported. ii) Damage to a school building from Pathar Katta village of Gairsain area reported. iii) Severe damage to properties in Chad a local nullah reported. iv) Damage to 4 cowsheds reported. v) Thousands of visitors stranded as Rishikesh-Badrinath highway at Lambagad was blocked. In addition, several other motor roads in Chamoli, Uttarkashi,Pauri districts affected.",IMD,,"47, 52, None",5
UKF_0063,2019-08-08,2019-09-08,32,"Chamoli, Garhwal, Rudra Prayag, Tehri Garhwal","Heavy rains, flash flood as a result of cloud burst",,,,India Flood Inventory v3,5131,UEI-IMD-FL-2019-0152,08-08-2019 00:00,08-09-2019 00:00,2.0,,Uttarakhand,,5.0,5.0,,40,"Total 5 persons died. Chamoli �������� 2 including a woman & kid, Garhwal - One youth washed away in Alaknanda river, Tehri �������� 2. While, 5 persons severely injured in Tharthi village Tehri district. More than 40 livestock perished in Chamoli Dist.","i) Damage to agricultural land reported. ii) Damage to more than 230 houses, 50 shops, Twenty Four cowsheds reported. iii) Damage to 10 water mills, water supply lines reported. iv) Damage to more than two dozen local footbridges,about 60 connecting roads reported.",IMD,,"47, 52, 54, 55",5
UKF_0064,2019-12-08,2019-12-08,1,"Bageshwar, Chamoli","Heavy rains, flash floods & Landslide",,,,India Flood Inventory v3,5132,UEI-IMD-FL-2019-0153,08-12-2019 00:00,08-12-2019 00:00,1.0,,Uttarakhand,,6.0,,,,6 persons died in Ghat block of Chamoli district.,"i) Damage to farmlands reported. ii) Damage to drinking water pipelines reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Landslide occurred at Aali, Lankhi & Banjba Gad villages from Chamoli Dist. reported. v) Parts of Katyur valley of Bageshwar Dist. affected.",IMD,,"46, 47",5
UKF_0065,2019-08-18,2019-08-18,1,"Dehradun, Garhwal, Tehri Garhwal, Uttar Kashi Kashi","Heavy rains & flash floods (in Tons, Pabbar River) & Landslide",,,,India Flood Inventory v3,5133,UEI-IMD-FL-2019-0154,18-08-2019 00:00,18-08-2019 00:00,1.0,,Uttarakhand,,19.0,,,60,"Total 19 persons died. Dehradun �������� one 42 year old woman swept away in Maldevta area, Tehri Garhwal �������� one woman died due to tree uprooted, Uttarakashi - 17 persons died, several others missing & many people were injured, about 60 livestock perished from Mori Block.","i) Extensive damage to agricultural lands reported. ii) Extensive damage to bridges, a primary school reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Several vehicles washed away. v) A helipad submerged in floodwater,national highways were blocked. vi) Damage to around half a dozen villages viz. Makudi, Arakot, Sanel, Tikochi, Khakwadi, Chinwa, Gokul from Uttarkashi Dist. (which is the worst affected district) due to landslide reported. vii) The Mason village in Chauthan Patti area of Thailisain block in Garhwal, Dist. also affected. viii) Several trees uprooted.",IMD,,"49, 52, 55, None",5
UKF_0066,2019-02-09,2019-02-09,1,Almora,Cloud Burst,,,,India Flood Inventory v3,5134,UEI-IMD-FL-2019-0155,09-02-2019 00:00,09-02-2019 00:00,1.0,,Uttarakhand,,,,,,Few persons injured due to house collapsed.,Damage to house reported in Jajar village in Dhauladevi Block.,IMD,,45,5
UKF_0067,2019-06-09,2019-08-09,62,"Chamoli, Pithoragarh",Heavy rains & flash flood as a result of cloud burst,,,,India Flood Inventory v3,5135,UEI-IMD-FL-2019-0156,09-06-2019 00:00,09-08-2019 00:00,3.0,,Uttarakhand,,1.0,3.0,,6,One person died & 3 others injured & about half a dozen livestock perished from Timtia village of Nachni area in Munsyari tehsil of Pithoragarh Dist. on 7th early morning. Several persons injured from Gundam village of Tharali Tehsil in Chamoli district.,"i) Damage to several acres of farmland reported. ii) Damage to a portion of inter college reported. iii) Damage to several houses, cowsheds reported. iv) Damage to several roads including 60-meter stretch of Thal-Munsyari highway, 30 meters stretch of Badrinath highway reported due to which thousands of pilgrims stranded at different locations. v) More than 40 vehicles washed away. vi) 2 water mills were washed away. vii) The electricity,communication services disrupted.",IMD,,"47, 53",5
UKF_0068,2019-09-27,2019-09-27,1,Dehradun,Heavy rains & flash flood,,,,India Flood Inventory v3,5136,UEI-IMD-FL-2019-0157,27-09-2019 00:00,27-09-2019 00:00,1.0,,Uttarakhand,,,,,,,Damage to about 15 houses in Clement town reported.,IMD,,49,5
